1,"11,15",2,0,0,-1,-1,Claw,0
3,30,2,0,0,-1,-1,Healing Touch,0
0,6,2,0,0,-1,-1,Moonfire,0
2,11,2,0,0,-1,-1,Mark of the Wild,0
3,11,2,0,0,-1,-1,Savage Roar,1
4,6,2,"1, 8",0,-1,-1,Swipe,1
3,24,2,0,0,-1,-1,Wild Growth,0
8,31,1,0,5,8,8,Ironbark Protector,1
0,17,2,0,0,-1,-1,Innervate,0
6,"3,6",2,0,0,-1,-1,Starfire,1
2,"3,6",2,0,5,-1,-1,Wrath,1
3,11,2,0,5,-1,-1,Mark of Nature,0
4,11,2,0,0,-1,-1,Soul of the Forest,0
2,"11, 35",2,0,5,-1,-1,Power of the Wild,1
6,"3,24",2,0,5,-1,-1,Nourish,1
5,36,1,0,5,4,4,Druid of the Claw,1
4,6,1,0,"5, 27",2,2,Keeper of the Grove,0
7,11,1,0,5,5,5,Ancient of War,1
4,"11, 15",2,0,0,-1,-1,Bite,0
5,35,2,0,0,-1,-1,Force of Nature,1
9,"11, 35",1,0,5,5,8,Cenarius,1
1,6,2,0,0,-1,-1,Savagery,0
5,6,2,"1, 8",5,-1,-1,Starfall,1
7,"3, 30",1,0,5,5,5,Ancient of Lore,0
10,"15, 27",1,0,5,7,7,Kun the Forgotten King,0
6,35,1,0,"31,2",3,6,Jade Behemoth,1
1,"33, 35",2,0,5,-1,-1,Jade Idol,0
1,11,2,1,0,-1,-1,Mark of the Lotus,0
3,24,2,0,0,-1,-1,Pilfered Power,0
3,11,1,0,2,3,3,Celestial Dreamer,0
3,"24, 35",2,0,0,-1,-1,Jade Blossom,1
5,"3, 20",2,0,0,-1,-1,Lunar Visions,1
5,11,1,0,2,4,5,Virmen Sensei,0
3,36,1,0,5,2,2,Druid of the Scythe,1
5,17,1,0,"2,31",4,1,Bewitched Guardian,0
4,35,2,0,0,-1,-1,Wispering Woods,0
3,35,2,7,0,-1,-1,Witching Hour,0
3,"3, 15",2,0,0,-1,-1,Ferocious Howl,0
8,"16, 32",1,0,2,8,8,Splintergraft,1
2,16,2,0,0,-1,-1,Witchwood Apple,0
5,20,1,0,0,3,7,Duskfallen Aviana,0
4,3,1,9,0,1,6,Forest Guide,0
4,"7, 35",2,"1, 8",0,-1,-1,Poison Seeds,0
4,11,1,5,0,3,5,Fandral Staghelm,1
3,"11, 15",2,0,5,-1,-1,Feral Rage,0
2,"3, 11",2,0,0,-1,-1,Mark of Y'Shaarj,0
1,"11, 34",1,0,2,1,1,Forbidden Ancient,0
7,"11, 35",2,1,5,-1,-1,Wisps of the Old Gods,0
4,"24, 35",1,0,5,3,3,Mire Keeper,1
3,11,1,9,0,2,2,Addled Grizzly,0
1,0,1,0,31,1,2,Goldshire Footman,0
1,0,1,0,0,2,1,Murloc Raider,0
1,0,1,0,4,1,1,Stonetusk Boar,0
1,6,1,0,2,1,1,Elven Archer,0
1,30,1,0,2,2,1,Voodoo Doctor,0
1,17,1,1,0,1,1,Grimscale Oracle,0
2,0,1,0,0,2,3,River Crocolisk,0
2,0,1,0,31,2,2,Frostwolf Grunt,0
2,0,1,0,30,2,2,Kobold Geomancer,0
2,0,1,0,0,3,2,Bloodfen Raptor,0
2,0,1,0,4,2,1,Bluegill Warrior,0
2,3,1,0,2,1,1,Novice Engineer,0
2,7,1,0,2,3,2,Acidic Swamp Ooze,1
2,35,1,0,2,2,1,Murloc Tidehunter,0
3,0,1,0,0,5,1,Magma Rager,0
3,17,1,1,0,2,2,Raid Leader,0
3,0,1,0,4,3,1,Wolfrider,0
3,0,1,0,31,3,3,Ironfur Grizzly,0
3,0,1,0,31,1,4,Silverback Patriarch,0
3,6,1,0,2,2,2,Ironforge Rifleman,0
3,35,1,0,2,2,3,Razorfen Hunter,0
3,17,1,0,2,3,2,Shattered Sun Cleric,1
3,0,1,0,30,1,4,Dalaran Mage,0
4,0,1,0,0,2,7,Oasis Snapjaw,0
4,0,1,0,4,2,5,Stormwind Knight,1
4,3,1,0,2,2,4,Gnomish Inventor,0
4,0,1,0,31,3,5,Sen'jin Shieldmasta,1
4,0,1,0,0,4,5,Chillwind Yeti,1
4,0,1,0,30,4,4,Ogre Magi,0
5,6,1,0,2,4,2,Stormpike Commando,0
5,0,1,0,31,5,4,Booty Bay Bodyguard,0
5,17,1,0,2,4,4,Frostwolf Warlord,0
5,30,1,1,2,4,5,Darkscale Healer,0
5,17,1,9,0,2,7,Gurubashi Berserker,0
5,6,1,0,2,4,4,Nightblade,0
6,0,1,0,30,4,7,Archmage,0
6,0,1,0,31,6,5,Lord of the Arena,0
6,0,1,0,0,6,7,Boulderfist Ogre,1
6,0,1,0,4,5,2,Reckless Rocketeer,0
7,0,1,0,0,7,7,War Golem,0
7,0,1,0,0,9,5,Core Hound,0
7,17,1,1,0,6,6,Stormwind Champion,1
0,0,1,0,0,1,1,Wisp,0
1,6,1,0,9,1,1,Leper Gnome,0
1,0,1,9,4,2,1,Southsea Deckhand,0
1,0,1,0,33,1,1,Young Dragonhawk,0
1,17,1,0,2,1,1,Abusive Sergeant,0
1,17,1,9,0,1,2,Lightwarden,0
1,17,1,9,0,2,1,Young Priestess,0
1,0,1,0,11,1,1,Argent Squire,1
1,17,1,9,0,1,1,Angry Chicken,0
1,0,1,0,29,2,1,Worgen Infiltrator,1
1,17,1,9,0,1,2,Secretkeeper,0
1,0,1,0,31,0,4,Shieldbearer,0
1,17,1,9,0,1,2,Murloc Tidecaller,0
1,"7,17",1,0,2,1,2,Hungry Crab,0
1,32,1,0,2,1,2,Bloodsail Corsair,0
2,3,1,"9,5","30,9",1,1,Bloodmage Thalnos,0
2,1,1,0,0,4,5,Ancient Watcher,0
2,31,1,0,2,3,2,Youthful Brewmaster,0
2,17,1,9,0,1,3,Mana Addict,0
2,17,1,6,2,2,3,Sunfury Protector,1
2,32,1,0,2,2,2,Crazed Alchemist,0
2,20,1,"5,9",0,2,2,Pint-Sized Summoner,0
2,6,1,6,2,3,2,Mad Bomber,1
2,3,1,9,9,2,1,Loot Hoarder,1
2,26,1,9,0,0,4,Lorewalker Cho,0
2,17,1,6,0,2,2,Dire Wolf Alpha,1
2,17,1,9,0,2,3,Amani Berserker,1
2,3,1,9,0,0,4,Nat Pagle,0
2,20,1,5,0,2,2,Mana Wraith,0
2,17,1,9,2,2,3,Bloodsail Raider,0
2,6,1,"6,9",0,2,2,Knife Juggler,0
2,6,1,"1,9",0,3,2,Wild Pyromancer,1
2,7,1,"1,9",0,0,7,Doomsayer,0
2,10,1,0,0,3,2,Faerie Dragon,1
2,20,1,0,2,4,4,Millhouse Manastorm,0
2,17,1,9,0,1,3,Master Swordsmith,0
3,30,1,0,2,3,3,Earthen Ring Farseer,1
3,6,1,0,2,4,7,Injured Blademaster,1
3,0,1,0,"27,2",2,1,Ironbeak Owl,0
3,"25,26",1,9,0,0,3,Alarm-o-Bot,0
3,3,1,9,0,1,3,Acolyte of Pain,0
3,26,1,0,2,5,5,King Mukla,0
