8,35,2,0,32,-1,-1,1,The Forest's Aid
1,"6,30",2,0,5,-1,-1,0,Crystal Power
3,11,2,0,32,-1,-1,0,Blessing of the Ancients
2,0,2,0,10,-1,-1,1,Crystalsong Portal
1,16,1,0,9,2,1,0,Acornbearer
3,16,1,"7,9",0,2,5,1,Lifeweaver
8,24,1,9,"31,9",4,8,0,Lucentbark
2,16,1,9,0,2,3,1,Keeper Stalladris
2,35,2,0,0,-1,-1,1,Dreamway Guardians
5,35,1,0,"25,2",4,4,1,Crystal Stag
1,17,1,22,2,1,2,0,Toxfin
1,30,1,1,2,1,1,0,Potion Vendor
2,17,1,9,"26,2",2,3,0,Sunreaver Spy
2,0,1,9,"30,2",3,2,0,Spellbook Binder
2,0,1,0,0,2,3,0,Arcane Servant
2,26,1,0,2,1,1,0,EVIL Cable Rat
2,0,1,0,"27,2",2,3,0,Dalaran Librarian
2,35,1,9,"9,25",2,1,1,Hench-Clan Hogsteed
2,0,1,0,30,0,6,0,Mana Reservoir
3,10,1,0,2,3,4,1,Spellward Jeweler
3,5,1,0,2,5,1,1,Arcane Watcher
3,35,1,0,2,3,4,1,Faceless Rager
3,17,1,9,25,1,6,0,Flight Master
3,11,1,9,0,3,3,1,Magic Carpet
3,11,1,9,0,3,3,0,Hench-Clan Thug
4,35,1,0,2,3,8,0,Hecklebot
4,30,1,,"11,2",3,2,0,Traveling Healer
4,35,1,0,2,3,3,1,Hench-Clan Hag
4,17,1,0,2,1,6,0,Violet Spellsword
4,17,1,9,31,2,6,1,Proud Defender
4,4,1,7,0,2,6,0,Archmage Vargoth
4,"33,35",1,4,2,5,2,0,Portal Keeper
4,26,1,9,0,5,6,1,Soldier of Fortune
5,0,1,0,11,5,4,1,Dalaran Crusader
5,6,1,9,2,4,4,0,Sunreaver Warmage
5,"5,26",1,0,2,4,5,0,Barista Lynchen
5,17,1,9,0,2,7,0,Azerite Elemental
5,35,1,9,9,3,6,0,Recurring Villain
6,35,1,9,9,4,5,0,Safeguard
6,0,1,5,"30,31",4,7,0,Violet Warden
6,4,1,7,2,5,6,0,Unseen Saboteur
6,"33,35",1,4,2,5,6,0,Portal Overfiend
6,35,1,9,9,6,4,1,Eccentric Scribe
6,35,1,1,2,4,4,0,Mad Summoner
7,"5,35",1,9,0,3,5,0,Underbelly Ooze
7,35,1,"1,9",2,6,6,0,Chef Nomi
7,35,1,"7,9",0,5,8,0,Exotic Mountseller
7,6,1,"1,9",9,3,7,0,Tunnel Blaster
8,17,1,9,2,4,4,0,Heroic Innkeeper
8,"26,32",1,0,2,6,6,0,Jepetto Joybuzz
8,38,1,9,25,3,12,1,Batterhead
8,29,1,0,2,7,7,1,Archivist Elysiana
8,17,1,1,33,6,6,0,Whirlwind Tempest
9,0,1,0,25,9,9,1,Burly Shovelfist
10,35,1,9,0,6,6,0,Big Bad Archmage
4,6,2,0,10,-1,-1,1,Marked Shot
4,3,1,9,0,3,3,0,Arcane Fletcher
1,6,2,0,0,-1,-1,1,Rapid Fire
6,35,1,7,9,3,4,0,Oblivitron
3,0,2,0,10,-1,-1,0,Nine Lives
6,"11,35",2,0,"25,32",-1,-1,1,Unleash the Beast
7,13,1,0,2,5,6,1,Vereesa Windrunner
1,26,1,7,9,1,1,1,Shimmerfly
5,5,2,0,0,-1,-1,0,Hunting Party
3,26,1,0,9,3,3,1,Ursatron
3,0,1,0,"2,10",3,2,1,Messenger Raven
3,"7, 35",2,0,32,-1,-1,1,Conjurer's Calling
2,6,1,"7,9",0,1,3,0,Magic Dart Frog
2,0,1,5,0,2,2,1,Khadgar
4,0,1,5,30,3,3,0,Kirin Tor Tricaster
1,6,2,0,"32,13",-1,-1,0,Ray of Frost
8,35,2,0,10,-1,-1,1,Power of Creation
2,16,1,7,2,2,2,1,Mana Cyclone
1,0,2,0,10,-1,-1,0,Magic Trick
10,20,1,5,"2, 10",4,12,1,Kalecgos
1,4,2,7,32,-1,-1,0,Desperate Measures
3,16,1,0,9,3,2,1,Bronze Herald
5,11,1,1,2,3,5,0,Dragon Speaker
2,11,2,0,32,-1,-1,0,Lightforged Blessing
1,11,2,1,26,-1,-1,0,Never Surrender!
2,17,3,0,2,2,2,1,Mysterious Blade
3,11,1,5,0,4,3,1,Commander Rhyssa
10,30,1,0,2,4,12,0,Nozari
3,"11, 26",2,0,0,-1,-1,0,Call to Adventure
5,35,2,0,0,-1,-1,0,Duel!
0,11,2,9,0,-1,-1,0,Lazul's Scheme
2,36,1,0,2,2,2,1,Shadowy Figure
5,7,1,"7,8","9,31",2,6,1,Convincing Infiltrator
4,30,1,0,9,4,7,1,Hench-Clan Shadequill
4,35,2,0,27,-1,-1,0,Unsleeping Soul
2,16,1,0,9,2,2,1,EVIL Conscripter
8,35,1,9,0,6,8,1,Catrina Muerte
0,"7,34",2,8,0,-1,-1,1,Forbidden Words
9,35,2,0,0,-1,-1,0,Mass Resurrection
3,0,1,0,"2,10",3,2,1,Madame Lazul
4,"11,15",2,9,0,-1,-1,0,Dr. Boom's Scheme
10,35,2,0,0,-1,-1,0,Dimensional Ripper
3,33,1,0,2,3,3,0,Clockwork Goblin
2,6,2,"6,9",0,-1,-1,1,Sweeping Strikes
4,33,3,9,0,3,2,1,Wrenchcalibur
7,35,1,0,2,7,7,0,Blastmaster Boom
10,"11, 35",1,0,2,7,9,0,The Boom Reaver
2,15,1,9,0,2,2,0,Vicious Scraphound
1,"6,16",2,0,0,-1,-1,1,Improve Morale
4,6,1,8,2,4,5,1,Omega Devastator
0,36,2,0,0,-1,-1,1,Mutate
1,26,1,0,2,2,1,1,Sludge Slurper
2,26,1,9,0,2,3,1,Underbelly Angler
2,30,2,0,0,-1,-1,0,Witch's Brew
2,"17,35",2,0,0,-1,-1,0,Soul of the Murloc
4,20,1,5,0,4,4,0,Scargil
5,6,2,1,0,-1,-1,1,Hagatha's Scheme
5,36,1,0,2,4,4,0,Muckmorpher
7,26,1,0,2,5,5,1,Swampqueen Hagatha
8,0,1,0,"16,33,25",4,8,1,Walking Fountain
1,33,2,0,0,-1,-1,0,Togwaggle's Scheme
1,"31,20",2,0,0,-1,-1,0,Daring Escape
2,17,1,0,9,2,3,1,Underbelly Fence
3,26,1,9,7,1,5,1,EVIL Miscreant
4,0,1,0,10,4,3,1,Hench-Clan Burglar
4,6,2,"9,2",0,-1,-1,1,Vendetta
4,31,3,9,9,4,2,1,Waggle Pick
6,7,2,2,0,-1,-1,1,Unidentified Contract
6,5,1,9,2,5,5,1,Heistbaron Togwaggle
7,"26,33",1,9,0,6,6,0,Tak Nozwhisker
2,"7,26",1,0,2,2,2,0,EVIL Genius
2,"33,3",2,0,0,-1,-1,0,Plot Twist
3,35,2,0,0,-1,-1,0,Rafaam's Scheme
3,"17,6",2,1,0,-1,-1,0,Impferno
4,17,1,9,9,2,2,0,Eager Underling
6,30,1,4,31,4,6,0,Aranasi Broodmother
6,"7,35",2,1,0,-1,-1,0,Darkest Hour
7,29,1,0,"2,31",7,8,1,Arch-Villain Rafaam
8,35,1,9,0,5,7,1,Fel Lord Betrug
10,20,1,2,0,8,8,0,Jumbo Imp
